id,pref_id,name
1,13,"銀座、新橋、有楽町"
2,13,"東京・日本橋・大手町"
3,13,"新宿・代々木"
4,13,"原宿・表参道・青山"
5,13,"渋谷・神泉"
6,13,"代官山、恵比寿-五反田"
7,13,"六本木・麻布・広尾・白金"
8,13,"赤坂・溜池山王"
9,13,"四ツ谷-飯田橋・神楽坂"
10,13,"秋葉原-水道橋・神田"
11,13,"上野・日暮里・湯島"
12,13,"池袋-高田馬場・巣鴨"
13,13,"三田、浜松町-品川"
14,13,"湾岸・築地・お台場"
15,13,"浅草・両国-小岩・錦糸町"
16,13,"中野・高円寺-三鷹"
17,13,"大井・大森・蒲田"
18,13,"東急沿線"
19,13,"京王、小田急沿線"
20,13,"千住、綾瀬"
21,13,"西武沿線"
22,13,"板橋・赤羽・東武沿線"
23,13,"多摩（府中・立川・八王子）"
101,1,"札幌大通周辺"
102,1,"札幌狸小路、すすきの"
103,1,"円山周辺"
104,1,"南区、豊平区、清田区"
105,1,"西区、手稲区"
106,1,"北区"
107,1,"東区、白石区、厚別区"
108,1,"小樽市"
109,1,"道央・石狩・その他"
110,1,"道南、函館、室蘭"
111,1,"道北、旭川、富良野"
112,1,"道東、釧路、紋別"
113,1,"中央区南部"
201,4,"仙台中央部"
202,4,"仙台北部"
203,4,"仙台南部"
204,4,"仙台東部"
205,4,"作並-仙台西部"
206,4,"泉周辺"
207,4,"松島・塩釜"
301,23,"北区、守山区"
302,23,"名古屋駅"
303,23,"伏見・丸の内"
304,23,"栄・新栄"
305,23,"西区、中村区、中川区"
306,23,"名東区、天白区、緑区"
307,23,"港区、熱田区、南区"
308,23,"豊田、岡崎、新城"
309,23,"豊橋、豊川、蒲郡"
310,22,"静岡市"
312,22,"伊豆、熱海、三島"
320,22,"富士・御殿場"
321,22,"掛川、焼津、御前崎"
322,22,"浜松、静岡西部"
323,21,"岐阜市・各務原周辺"
325,21,"郡上・美濃・長良川"
326,21,"中津川・土岐・多治見"
327,21,"大垣、関ヶ原、養老の滝"
328,24,"津市"
329,24,"桑名、四日市、鈴鹿"
330,24,"伊賀、名張"
331,24,"松阪、伊勢、志摩、鳥羽"
332,24,"熊野、東紀州"
340,23,"中区、東区"
341,23,"千種区、昭和区、瑞穂区"
342,23,"一宮、小牧、弥富、瀬戸"
343,23,"常滑、半田、安城、日進"
401,27,"新地、梅田、北、十三"
402,27,"天満橋、京橋、鶴橋"
403,27,"淀屋橋、北浜、本町"
404,27,"心斎橋、なんば"
405,27,"天王寺"
406,27,"大阪市内その他"
407,27,"堺市"
408,27,"大阪府北部"
409,27,"枚方、東大阪、柏原"
410,27,"岸和田、河内、大阪南部"
411,28,"三宮、北野、新神戸、ポートアイランド"
412,28,"元町、神戸、ハーバーランド"
413,28,"神戸市内その他"
414,28,"芦屋、西宮、尼崎、宝塚"
415,28,"明石、加古川、姫路、加西"
416,28,"兵庫県東部"
417,28,"兵庫県北西部"
418,26,"宝ヶ池、下鴨"
419,26,"岡崎、祇園、円山公園"
420,26,"河原町、四条大宮、御池、二条、京都"
421,26,"京都市内その他"
422,26,"京都府北部"
423,26,"京都府南部"
424,26,"京都府中部"
431,28,"兵庫県南西部"
432,28,"あわじ"
501,40,"北九州市（福岡県）"
502,40,"天神"
503,40,"博多・福岡空港"
504,40,中洲
505,40,"福岡市その他"
506,40,"太宰府・筑紫野市"
507,40,"久留米市"
508,40,"大牟田市"
509,40,"福岡県南部"
521,40,"福岡市周辺"
522,40,"福岡県北部"
523,41,"佐賀市、佐賀県東部"
524,41,"伊万里、有田、佐賀県西部"
525,41,"佐賀県南部"
526,42,"長崎市"
527,42,"平戸、佐世保"
528,42,"長崎県中部"
529,42,"雲仙、島原"
531,43,"熊本市周辺"
532,43,"熊本北部"
533,43,"阿蘇"
534,43,"宇城、八代"
536,43,"球磨"
537,44,"大分市"
538,44,"中津、大分北部"
539,44,"別府、湯布院、九重"
540,44,"大分南部"
541,45,"宮崎市"
542,45,"延岡、宮崎県北部"
543,45,"日南、宮崎県南部"
544,46,"鹿児島市"
545,46,"霧島市"
546,46,"北薩・出水"
547,46,"南薩・指宿・枕崎・吹上"
548,46,"大隅半島"
550,47,"那覇市、沖縄南部"
551,47,"名護、沖縄県北部"
552,47,"沖縄県中部"
601,2,"津軽・弘前"
602,2,"青森市・東津軽"
603,2,"むつ・下北半島"
604,2,"八戸・三沢・十和田・上北"
605,3,"盛岡・雫石・八幡平"
606,3,"花巻・北上・一関"
607,3,"二戸・久慈・岩泉"
608,3,"宮古・遠野・三陸海岸"
609,4,"仙北"
610,4,"仙台周辺"
611,4,"仙南"
612,4,"石巻・本吉・気仙沼"
613,5,"秋田市"
614,5,"男鹿・由利本荘"
615,5,"能代・大館・北秋田"
616,5,"田沢湖・横手・湯沢"
617,6,"山形・村山"
618,6,"新庄・最上"
619,6,"米沢・置賜"
620,6,"酒田・鶴岡・庄内"
621,7,"福島・二本松・相馬"
622,7,"郡山・中通り"
623,7,"いわき・浜通り"
624,7,"喜多方・会津"
701,8,"日立・北茨城・常陸太田"
702,8,"水戸・ひたちなか・笠間"
703,8,"古河・筑西・下妻"
704,8,"つくば・土浦・石岡・取手"
705,8,"鹿嶋・潮来・行方"
706,9,"日光市"
707,9,"那須・大田原"
708,9,"宇都宮・河内"
709,9,"佐野・鹿沼・足利"
710,9,"小山-茂木町"
711,10,"みなかみ・片品"
712,10,"沼田・渋川"
713,10,"嬬恋・草津"
714,10,"太田・桐生"
715,10,"前橋・伊勢崎"
716,10,"高崎・榛名"
717,10,"富田・下仁田"
801,11,"中央区"
802,11,"大宮区"
803,11,"見沼区、北区、西区"
804,11,"浦和区、桜区、緑区、南区"
805,11,"岩槻区"
806,11,"越谷・草加・春日部"
807,11,"川口・蕨"
808,11,"川越・所沢"
809,11,"飯能・鶴ヶ島"
810,11,"東松山・比企"
811,11,"鴻巣-上尾"
812,11,"加須・幸手"
813,11,"熊谷・深谷・大里"
814,11,"本庄・児玉"
815,11,"秩父地域"
901,12,"中央区"
902,12,"幕張・美浜区"
903,12,"稲毛区・花見川区"
904,12,"若葉区・緑区"
905,12,"習志野・津田沼・八千代"
906,12,"船橋・鎌ヶ谷"
907,12,"市川・行徳"
908,12,"浦安・舞浜(ディズニーランド)"
909,12,"松戸・流山"
910,12,"野田市"
911,12,"柏・我孫子"
912,12,"印西・白井"
913,12,"成田・佐倉・酒々井"
914,12,"香取・佐原"
915,12,"銚子・旭・匝嵯"
916,12,"山武・九十九里・東金・茂原"
917,12,"市原"
918,12,"袖ヶ浦・木更津・君津・富津"
919,12,"勝浦・いすみ"
920,12,"鴨川・南房総・館山"
1001,14,"鶴見区"
1002,14,"中区（桜木町・中華街）"
1003,14,"西区（横浜・みなとみらい）"
1004,14,"神奈川区"
1005,14,"旭・保土ヶ谷・南・港南区"
1006,14,"磯子・金沢区（八景島）"
1007,14,"戸塚・泉・栄・瀬谷区"
1008,14,"青葉・都筑・港北・緑区"
1009,14,"川崎区"
1010,14,"中原・幸区"
1011,14,"宮前・高津区"
1012,14,"麻生・多摩区"
1013,14,"鎌倉・逗子・葉山"
1014,14,"横須賀・三浦"
1015,14,"藤沢・茅ヶ崎（江ノ島）・寒川"
1016,14,"平塚・大磯・二宮"
1017,14,"大和・海老名・座間・綾瀬"
1018,14,"秦野・伊勢原"
1019,14,"厚木・愛甲"
1020,14,"相模原・津久井"
1021,14,"南足柄"
1022,14,"小田原・箱根・湯河原・真鶴"
1101,16,"富山市"
1102,16,"滑川・魚津・黒部"
1103,16,"高岡・氷見"
1104,16,"砺波"
1105,17,"金沢市"
1106,17,"能登・輪島"
1107,17,"白山・小松・能美"
1108,18,"福井市"
1109,18,"坂井・奥越前"
1110,18,"南越前"
1111,18,"敦賀"
1112,18,"小浜・若狭"
1201,15,"新潟市"
1202,15,"下越"
1203,15,"三条・加茂・見附"
1204,15,"長岡・柏崎・小千谷"
1205,15,"魚沼・湯沢・十日町"
1206,15,"上越・妙高・糸魚川"
1207,19,"甲府・甲斐"
1208,19,"大月・都留・上野原"
1209,19,"山梨・甲州・笛吹"
1210,19,"河口湖・山中湖・周辺"
1211,19,"身延・南部"
1212,19,"北杜・南アルプス・早川"
1213,20,"長野・戸隠・小布施"
1214,20,"黒姫・飯綱"
1215,20,"志賀高原・野沢温泉・戸狩"
1216,20,"上田・小諸・別所温泉"
1217,20,"佐久・軽井沢"
1218,20,"八ヶ岳・野辺山・蓼科"
1219,20,"大町・白馬・八方"
1220,20,"安曇野・上高地・松本"
1221,20,"木曽・御嶽"
1222,20,"諏訪・岡谷"
1223,20,"上伊那"
1224,20,"下伊那"
1501,25,"大津市"
1502,25,"草津-甲賀"
1503,25,"彦根、東近江"
1504,25,"長浜、米原、湖北"
1505,29,"奈良、生駒"
1506,29,"桜井、明日香、天理"
1507,29,"五條、吉野、大峰山"
1508,30,"和歌山、高野、紀北"
1509,30,"有田、御坊、中紀"
1510,30,"新宮、白浜、南紀"
1601,31,"鳥取市、鳥取県東部"
1602,31,"倉吉、鳥取県中部"
1603,31,"米子、鳥取県西部"
1604,32,"松江、出雲、島根県東部"
1605,32,"島根県西部、隠岐島"
1606,33,"岡山市"
1607,33,"備前、瀬戸内"
1608,33,"倉敷、井原"
1609,33,"岡山県北東部"
1610,33,"岡山県北西部"
1611,34,"広島市"
1612,34,"呉市"
1613,34,"安芸、廿日市、広島県西部"
1614,34,"福山、尾道、備後"
1615,34,"備北"
1616,35,"下関"
1617,35,"山口、宇部"
1618,35,"萩、長門"
1619,35,"岩国、周南"
1701,36,"徳島市"
1702,36,"徳島県北東部"
1703,36,"徳島県北西部"
1704,36,"徳島県南部"
1705,37,"高松市"
1706,37,"香川県東部"
1707,37,"香川県中部"
1708,37,"香川県西部"
1709,38,"松山市"
1710,38,"今治、愛媛県東部"
1711,38,"伊予、愛媛県中部"
1712,38,"宇和島、大州、愛媛県西部"
1713,39,"高知市"
1714,39,"室戸岬、高知県東部"
1715,39,"四万十川、足摺岬、高知県西部"
